Kuupaev,temperatuur,niiskus,valgus,pNiiskus,taimeKorgus
2019-05-07 14:44:25,24.8,27.4,2433,798,3
2019-05-07 15:44:52,24.9,27.5,639,787,3
2019-05-07 16:15:03,24.4,28.1,2450,787,3
2019-05-07 16:45:14,25,27.7,1181,785,4
2019-05-07 17:15:25,24.8,27.9,905,792,4
2019-05-07 17:45:36,24.8,27.2,738,790,4
2019-05-07 18:15:47,24.8,26.9,636,795,3
2019-05-07 18:45:57,24.5,27.7,623,788,4
2019-05-07 19:16:08,24.7,27.6,533,787,3
2019-05-07 19:46:19,24.3,28.5,331,784,2
2019-05-07 20:16:30,24.1,29.6,126,786,3
2019-05-07 20:46:41,23.6,31.4,159,784,3
2019-05-07 21:16:52,23.4,32.9,87,790,2
2019-05-07 21:47:03,23.3,35.9,42,784,-3127
2019-05-07 22:17:14,23.2,36.3,1,792,0
2019-05-07 22:47:26,23,35.9,1,794,-3121
2019-05-07 23:17:37,22.4,35,1,796,-3137
2019-05-07 23:47:48,22.2,33.8,1,796,19
2019-05-08 00:17:59,21.9,33,1,798,17
2019-05-08 00:48:10,21.6,32.2,1,801,16
2019-05-08 01:18:21,21.5,31.7,1,802,2
2019-05-08 01:48:32,21.4,31.3,1,801,2
2019-05-08 02:18:43,21.3,31.1,1,805,17
2019-05-08 02:48:54,21.2,31,1,801,4
2019-05-08 03:19:05,21.1,31.1,1,805,3
2019-05-08 03:49:16,21.1,31.2,1,806,2
2019-05-08 04:19:27,21.1,31.4,1,799,4
2019-05-08 04:49:38,21,31.5,8,798,2
2019-05-08 05:19:49,21,31.6,53,798,4
2019-05-08 05:50:00,21.1,31.6,128,802,3
2019-05-08 06:20:11,21,31.8,292,800,4
2019-05-08 06:50:22,21.1,31.7,335,798,16
2019-05-08 07:20:33,21.3,31.5,478,796,5
2019-05-08 07:50:44,21.5,31.1,700,793,3
2019-05-08 08:20:55,21.8,30.8,899,793,2
2019-05-08 08:51:06,22.3,30.2,1062,785,2
2019-05-08 09:21:17,22.7,29.9,1242,783,17
2019-05-08 09:51:28,23.1,29.4,1875,785,18
2019-05-08 10:21:39,23.5,28.9,2059,788,18
2019-05-08 10:51:50,24.3,27.8,1036,797,18
2019-05-08 11:22:01,24.7,27.6,650,797,18
2019-05-08 11:52:12,24.4,28,1902,794,18
2019-05-08 12:22:23,24.9,27.2,1942,785,18
2019-05-08 12:52:34,25.1,26.7,1387,787,18
2019-05-08 13:22:45,25.4,26,992,788,18
2019-05-08 13:52:56,25.4,26.2,2849,788,18
2019-05-08 14:23:07,25.7,26.4,1264,786,-3146
2019-05-08 14:53:18,26.2,26,3012,786,-2
2019-05-08 15:23:29,26.1,26.5,3102,784,0
2019-05-08 15:53:39,26,25.6,2259,786,0
2019-05-08 16:23:50,25.7,25.3,3144,785,18
2019-05-08 16:54:01,25.5,25,1216,782,2
2019-05-08 17:24:12,25.2,25,1683,786,2
2019-05-08 17:54:23,25.3,24.7,1249,786,3
2019-05-08 18:24:34,24.9,24.5,823,790,3
2019-05-08 18:54:45,24.8,25,761,776,3
2019-05-08 19:24:56,24.7,25.8,482,788,3
2019-05-08 19:55:07,24.4,27.5,325,786,2
2019-05-08 20:25:18,24.3,28.9,218,787,-3124
2019-05-08 20:55:29,24.1,34.5,113,786,1
2019-05-08 21:25:40,23.7,34.9,33,780,-3079
2019-05-08 21:55:51,23.4,34,3,788,-3129
2019-05-08 22:26:02,22.9,33.4,1,796,-3140
2019-05-08 22:56:14,22.7,33.2,1,798,-3127
2019-05-08 23:26:25,22.4,33.1,1,802,-3097
2019-05-08 23:56:36,22.2,33.1,1,800,-3119
2019-05-09 00:26:47,22,32.9,1,801,-2
2019-05-09 00:56:58,21.9,32.8,1,798,-3
2019-05-09 01:27:09,21.8,32.6,1,806,-4
2019-05-09 01:57:20,21.7,32.7,1,800,0
2019-05-09 02:27:31,21.6,32.4,1,795,-3127
2019-05-09 02:57:42,21.5,32.4,1,801,-3098
2019-05-09 03:27:54,21.4,32.2,1,804,-120
2019-05-09 03:58:05,21.4,32.1,1,806,-89
2019-05-09 04:28:16,21.3,32.1,1,806,3
2019-05-09 04:58:27,21.2,31.8,19,809,2
2019-05-09 05:28:38,21.2,31.7,78,808,1
2019-05-09 05:58:48,21.2,31.5,163,805,0
2019-05-09 06:29:00,21.2,31.3,263,806,-194
2019-05-09 06:59:11,21.3,31.1,393,801,-354
2019-05-09 07:29:22,21.5,30.3,571,802,-3095
2019-05-09 07:59:33,21.7,29.7,796,796,-3125
2019-05-09 08:29:44,22.2,29.1,978,796,-3040
2019-05-09 08:59:55,22.6,28.3,1160,795,-3132
2019-05-09 09:30:06,22.9,27.6,1309,796,1
2019-05-09 10:00:18,23.6,26.8,1393,795,-3163
2019-05-09 10:30:29,24.2,26.3,1481,797,-3214
2019-05-09 11:00:40,24.7,25.5,1477,801,-3135
2019-05-09 11:30:51,25.1,24.8,1660,798,-3213
2019-05-09 12:01:02,25.4,24.2,1525,795,-3179
2019-05-09 12:31:13,25.9,23.7,1645,798,3
2019-05-09 13:01:25,26.2,23.4,1921,795,-3198
2019-05-09 13:31:36,26.5,22.4,2154,796,-3185
2019-05-09 14:01:47,27,21.8,2353,802,2
2019-05-09 14:31:58,27.2,21.8,2062,817,4
2019-05-09 15:02:09,27.4,22.2,1753,802,-3185
2019-05-09 15:32:20,27.1,22.9,1518,805,8
2019-05-09 16:02:31,27.4,23,1326,804,-3143
2019-05-09 16:32:42,27.3,23.4,1278,810,-3169
2019-05-09 17:02:53,27.2,23.6,1301,816,-3154
2019-05-09 17:33:04,27.2,23.9,934,824,4
2019-05-09 18:03:15,26.9,23.9,586,823,2
2019-05-09 18:33:26,26.6,24.2,602,825,1
2019-05-09 19:03:37,26.4,24.3,528,829,1
2019-05-09 19:33:48,26.2,24.3,431,824,-3129
2019-05-09 20:03:59,25.9,25.3,329,826,2
2019-05-09 20:34:10,25.6,25.1,216,831,3
